customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
100001,43.0,,South,Primary,Salaried,710040.28,2350487.96,Other,698.6,3,27,23.03,2019-06-09,0
100002,36.0,Male,West,Graduate,Salaried,406309.31,374608.4,Car,789.6,2,24,5.64,2020-11-13,0
100003,45.0,Female,East,Post-Graduate,Salaried,654528.65,697723.55,Business,668.7,2,24,44.98,2021-09-10,0
100004,55.0,Female,West,Secondary,Salaried,337995.13,304555.0,Car,567.7,1,26,10.32,2023-09-13,0
100005,35.0,Male,West,Graduate,Salaried,607591.5,128389.14,Education,850.0,0,25,7.21,2018-09-04,0
100006,35.0,Female,North,Post-Graduate,Unemployed,,406300.34,Home,640.1,1,23,33.54,2026-06-18,0
100007,55.0,Male,South,Post-Graduate,Self-Employed,759233.57,383709.15,Car,693.5,0,24,42.76,2026-06-29,0
100008,46.0,Female,East,Post-Graduate,Unemployed,438382.0,354008.4,Car,778.3,4,32,72.64,2023-09-28,1
100009,33.0,Female,North,Graduate,Salaried,633574.58,420087.52,Business,628.3,2,32,33.0,2023-05-17,0
100010,,Female,North,Post-Graduate,Unemployed,481811.25,527320.51,Other,594.3,1,27,28.02,2026-02-07,0
100011,33.0,Female,North,Graduate,Salaried,,411240.18,Car,701.6,5,18,30.93,2024-02-06,1
100012,33.0,Female,West,Secondary,Salaried,459818.66,210786.1,Home,527.6,1,27,11.61,2021-10-25,0
100013,41.0,Male,South,Secondary,Salaried,502468.98,602422.16,Car,655.5,2,20,46.69,2023-03-23,1
100014,18.0,Female,South,Graduate,Salaried,618050.16,139717.78,Education,700.8,3,21,24.01,2023-07-17,0
100015,19.0,,East,Secondary,Self-Employed,318483.6,131503.45,Home,657.1,1,33,17.76,2020-01-08,0
100016,32.0,Female,South,Graduate,Salaried,314563.17,701173.86,Business,548.8,1,29,20.53,2023-05-23,1
100017,27.0,Female,South,Graduate,Salaried,256267.0,610000.48,Other,815.5,2,25,20.46,2025-03-22,0
100018,41.0,Female,North,Secondary,Salaried,228096.59,434767.05,Other,688.8,1,20,71.48,2024-12-18,0
100019,28.0,Male,North,Graduate,Salaried,281578.93,194800.99,Home,801.6,1,30,45.96,2024-10-14,0
100020,22.0,Female,West,Graduate,Salaried,600415.95,294270.97,Business,657.9,2,29,11.36,2026-07-04,0
100021,54.0,Female,North,Secondary,Salaried,336596.59,384367.66,Business,605.2,0,28,32.32,2021-12-07,0
100022,36.0,Female,North,Primary,Self-Employed,729534.19,172726.81,Car,702.9,3,24,40.88,2018-12-30,0
100023,39.0,Male,North,Primary,Self-Employed,560601.79,288827.72,Education,661.7,1,20,27.92,2024-06-15,0
100024,22.0,Male,North,Secondary,Salaried,186278.15,665571.31,Business,579.9,1,33,49.87,2020-09-08,1
100025,32.0,Male,West,Post-Graduate,Salaried,788517.7,1059583.09,Car,804.9,1,20,38.57,2021-07-26,1
100026,39.0,Male,North,Secondary,,859076.12,349878.77,Car,627.1,3,24,9.09,2018-08-15,0
100027,25.0,Female,East,Graduate,Self-Employed,318395.34,708493.29,Car,523.6,3,21,39.59,2021-06-20,0
100028,42.0,Male,East,Secondary,Salaried,692995.58,142709.56,Education,792.9,1,30,14.62,2023-08-20,0
100029,31.0,Other,East,Secondary,Salaried,343382.25,668421.08,Home,637.1,2,26,25.18,2021-11-16,0
100030,35.0,Male,East,Graduate,,580353.26,277793.64,Other,628.3,2,27,22.25,2023-09-27,0
100031,31.0,Male,North,Graduate,Salaried,274360.83,541127.51,Education,300.0,2,23,23.02,2022-07-06,0
100032,58.0,Female,East,Primary,Salaried,205143.5,387841.26,Education,828.0,1,29,18.63,2024-03-01,0
100033,38.0,Female,North,Secondary,Self-Employed,445576.44,993760.26,Home,570.4,2,17,18.1,2026-04-25,1
100034,,Male,West,Primary,Salaried,513817.1,266290.07,Education,685.0,2,17,60.61,2026-01-20,1
100035,47.0,Female,East,Secondary,Salaried,441948.98,655770.82,Home,757.6,0,14,34.53,2018-06-06,0
100036,25.0,Female,South,Graduate,Self-Employed,286776.01,380521.66,Home,715.8,3,29,57.34,2025-12-12,0
100037,40.0,Male,East,Primary,Self-Employed,441409.84,409224.66,Education,674.9,1,29,36.6,2023-09-05,1
100038,18.0,Other,East,Secondary,Salaried,637803.6,402999.47,Car,535.4,4,21,26.36,2024-10-04,1
100039,23.0,Other,North,Secondary,Salaried,536586.14,270925.46,Education,611.2,3,29,20.29,2022-08-29,0
100040,40.0,Female,East,Post-Graduate,Salaried,608072.33,446209.34,Home,696.0,4,20,57.01,2020-01-31,1
100041,46.0,Male,South,Post-Graduate,Unemployed,380450.06,433398.94,Car,613.1,3,34,38.28,2020-02-13,0
100042,40.0,Female,North,Primary,Salaried,1047711.07,520084.73,Home,697.3,0,19,78.53,2024-04-30,1
100043,37.0,Male,North,Graduate,Unemployed,288017.99,473404.72,Other,737.9,2,24,14.15,2022-04-02,0
100044,35.0,Male,West,Secondary,Self-Employed,719154.66,726358.95,Education,761.8,2,29,3.63,2025-03-20,1
100045,22.0,Male,West,Secondary,Salaried,1053589.71,783172.32,Business,575.8,1,30,32.9,2020-08-15,0
100046,30.0,Male,East,Graduate,Salaried,716528.29,239576.69,Car,850.0,1,27,39.64,2024-11-22,1
100047,33.0,Female,West,Post-Graduate,Salaried,492025.21,757869.41,Home,745.2,1,19,50.16,2018-09-11,0
100048,50.0,,West,Post-Graduate,Salaried,411313.17,220841.61,Other,,4,21,26.34,2022-04-19,0
100049,42.0,Female,West,Graduate,,972399.26,640315.56,Car,772.6,1,28,26.89,2025-08-19,0
100050,19.0,Male,North,Secondary,,251459.53,652682.54,Car,,2,32,29.66,2018-04-28,0
100051,42.0,Male,North,Graduate,Unemployed,322579.6,142944.64,Education,,0,30,20.59,2019-07-04,0
100052,34.0,Male,North,Secondary,Salaried,441978.62,475817.86,Home,660.9,1,22,42.13,2020-06-29,1
100053,31.0,Other,West,Graduate,Self-Employed,1086403.35,339729.57,Business,477.8,4,19,27.18,2020-05-19,0
100054,45.0,Male,North,Secondary,Salaried,677758.13,285427.61,Education,696.4,0,26,57.54,2020-03-18,0
100055,49.0,Female,West,Graduate,Salaried,322948.58,1012076.04,Home,711.1,2,18,16.62,2022-07-31,0
100056,48.0,Female,North,Secondary,Salaried,463705.22,304003.77,Home,676.7,0,29,22.66,2020-03-31,0
100057,29.0,Male,North,Secondary,,392305.37,277389.16,Home,624.4,3,15,26.39,2022-11-17,0
100058,35.0,Female,South,Post-Graduate,Unemployed,372238.33,470908.85,Other,505.8,2,17,22.94,2021-05-06,1
100059,42.0,Male,East,Primary,,942284.77,678986.63,Business,711.8,2,33,41.72,2022-05-21,0
100060,49.0,Female,West,Graduate,Salaried,258645.8,413335.01,Home,803.7,2,34,25.82,2025-02-24,0
100061,33.0,Female,South,Secondary,Salaried,1332414.18,906027.73,Home,,1,30,18.67,2024-09-27,0
100062,36.0,Male,North,Primary,Salaried,867351.75,618831.47,Business,717.4,2,22,34.63,2020-05-29,0
100063,26.0,Male,West,Primary,Salaried,1002139.2,408649.09,Education,546.7,2,22,33.73,2020-09-19,0
100064,25.0,Female,North,Secondary,Self-Employed,,327525.99,Car,718.9,3,19,39.99,2018-01-01,0
100065,47.0,Female,East,Graduate,Self-Employed,506462.8,321225.16,Car,646.6,3,24,45.46,2018-06-16,0
100066,53.0,Male,South,Secondary,Salaried,,599960.7,Home,615.2,1,26,65.7,2023-08-26,0
100067,37.0,Female,East,Post-Graduate,Salaried,412136.23,93163.62,Education,615.4,3,29,11.15,2025-05-28,0
100068,49.0,Female,South,Graduate,Salaried,721569.32,2076945.13,Other,646.5,3,26,41.56,2018-04-22,0
100069,,Female,North,Secondary,,1121870.84,618850.2,Home,712.5,4,20,11.96,2021-01-30,1
100070,31.0,Male,East,Graduate,Salaried,299161.04,492046.72,Education,568.5,0,21,12.49,2025-03-26,1
100071,42.0,Female,East,Graduate,Salaried,449839.12,914326.94,Car,,1,29,17.69,2021-11-30,0
100072,55.0,Female,North,Graduate,Self-Employed,506084.53,1836175.24,Car,676.5,0,23,5.38,2023-06-29,0
100073,38.0,Male,East,Secondary,Self-Employed,255247.64,758767.62,Home,586.6,1,19,22.92,2023-08-06,1
100074,55.0,Male,West,Secondary,Salaried,761401.16,795153.71,Business,832.7,0,31,37.88,2019-05-22,0
100075,18.0,Other,South,Post-Graduate,Salaried,369342.2,486706.66,Car,607.5,2,32,12.78,2022-06-23,0
100076,,Male,South,Post-Graduate,Salaried,493959.53,413365.48,Education,623.1,5,22,52.22,2019-11-02,0
100077,39.0,Female,South,Post-Graduate,Salaried,428952.47,338244.94,Car,596.8,0,27,16.03,2026-07-09,0
100078,35.0,Male,West,Secondary,Self-Employed,356303.22,274123.95,Home,832.9,6,27,4.08,2022-08-18,1
100079,39.0,Male,South,Graduate,Salaried,547873.02,297983.8,Home,727.0,0,26,11.74,2025-09-07,0
100080,18.0,Female,North,Secondary,Salaried,488496.84,200119.36,Business,600.4,4,35,12.41,2024-12-19,0
100081,36.0,Male,East,Secondary,Salaried,448270.32,429973.99,Home,774.0,2,23,47.7,2020-08-22,0
100082,42.0,Male,West,Secondary,Unemployed,368435.03,163767.38,Business,697.1,3,27,40.9,2018-10-08,0
100083,54.0,Male,South,Graduate,Salaried,655669.5,504615.88,Car,701.9,1,23,25.87,2018-12-17,0
100084,32.0,,North,Secondary,Salaried,1365680.03,440296.88,Car,650.7,4,24,36.01,2024-07-09,1
100085,29.0,Male,East,Secondary,Salaried,593986.3,491473.86,Car,,2,34,49.39,2023-05-04,0
100086,32.0,Male,East,Graduate,Self-Employed,951256.08,328970.68,Car,708.7,1,25,33.75,2023-05-21,0
100087,48.0,Female,West,Secondary,Unemployed,256030.41,2850825.28,Home,633.7,0,32,32.15,2025-09-09,0
100088,42.0,Male,West,Primary,Salaried,599854.47,1017716.96,Car,834.4,3,21,48.56,2022-03-28,1
100089,32.0,Female,West,Primary,Unemployed,300775.97,213262.13,Education,572.1,4,30,16.14,2021-07-30,1
100090,44.0,Male,North,Post-Graduate,Unemployed,244107.71,517478.74,Education,810.6,2,23,9.72,2023-05-19,0
100091,39.0,Female,North,Graduate,Unemployed,366230.9,312449.83,Car,670.5,4,37,30.5,2019-12-29,0
100092,49.0,Male,West,Secondary,Self-Employed,1059405.22,244828.94,Car,705.4,3,36,29.33,2020-04-02,0
100093,30.0,Female,South,Graduate,Self-Employed,927438.96,201382.15,Home,750.8,2,25,14.84,2021-12-08,0
100094,34.0,Male,East,Graduate,Salaried,628647.62,583227.65,Home,626.4,5,24,46.16,2023-08-24,0
100095,34.0,Male,East,Secondary,Self-Employed,236733.01,298992.78,Home,753.5,1,15,21.9,2020-12-15,1
100096,22.0,Male,North,Graduate,Salaried,493717.71,804276.57,Other,449.9,2,30,19.37,2024-07-17,0
100097,41.0,Male,East,Graduate,Self-Employed,649273.01,816900.18,Home,618.8,2,22,36.47,2018-07-18,0
100098,41.0,Male,South,Graduate,Salaried,605747.48,1026177.71,Home,601.5,1,26,21.51,2023-02-27,0
100099,38.0,Male,East,Secondary,Self-Employed,199503.51,269836.31,Home,573.5,0,26,5.52,2019-11-09,0
100100,35.0,,North,Graduate,Self-Employed,337054.1,598524.19,Home,661.7,3,14,33.42,2025-05-29,0
100101,22.0,Male,North,Graduate,Salaried,530954.06,657681.07,Education,712.8,3,38,18.97,2022-01-04,0
100102,33.0,Male,South,Secondary,Self-Employed,738689.95,338573.32,Home,739.7,3,25,31.99,2018-03-19,0
100103,34.0,Female,South,Secondary,Salaried,164358.16,283208.79,Home,700.5,2,26,23.16,2023-11-30,0
100104,29.0,Female,East,Primary,Self-Employed,503080.45,1181996.2,Education,623.4,3,20,27.27,2019-06-19,0
100105,36.0,Male,East,Secondary,Salaried,595020.05,515813.42,Car,711.4,3,18,20.82,2021-10-30,0
100106,42.0,Male,North,Graduate,Salaried,877612.25,659069.0,Business,690.6,0,19,41.71,2021-03-11,0
100107,59.0,Male,South,Primary,Unemployed,805118.88,274788.57,Education,759.6,1,24,6.33,2026-04-28,0
100108,40.0,Female,South,Secondary,Salaried,757734.08,216518.7,Home,746.0,4,23,15.28,2021-05-05,0
100109,41.0,Female,South,Graduate,Self-Employed,,986218.72,Education,682.6,1,21,22.0,2020-02-29,1
100110,37.0,Male,East,Primary,Salaried,192581.05,417729.77,Home,603.7,2,26,32.62,2022-04-13,0
100111,18.0,Female,South,Post-Graduate,Salaried,443075.09,237630.18,Education,624.5,3,19,16.87,2021-08-15,0
100112,38.0,Female,North,Secondary,Salaried,954145.12,447349.74,Car,633.3,1,32,30.17,2021-01-04,0
100113,39.0,Female,North,Secondary,Salaried,1183602.78,163390.73,Home,653.2,1,25,26.98,2025-01-21,0
100114,65.0,Female,East,Secondary,,812991.2,229802.24,Education,702.8,4,24,45.97,2023-11-18,0
100115,36.0,Male,West,Secondary,Salaried,696491.6,673032.98,Business,740.8,5,25,40.4,2022-02-11,0
100116,41.0,Male,East,Primary,Salaried,677710.42,646466.83,Other,675.7,1,20,45.84,2026-04-09,0
100117,38.0,Male,West,Graduate,Salaried,405067.2,355712.04,Education,681.4,1,27,15.52,2022-01-31,0
100118,25.0,Male,South,Post-Graduate,Unemployed,512030.97,244346.91,Car,300.0,5,20,14.98,2022-07-18,1
100119,51.0,Female,East,Secondary,Unemployed,6806977.67,242937.8,Home,,0,38,36.74,2023-03-16,0
100120,46.0,Female,North,Graduate,Salaried,,359705.86,Home,,2,23,9.94,2021-08-08,0
100121,47.0,Male,South,Graduate,Self-Employed,,662459.01,Car,530.8,1,29,15.64,2026-05-21,1
100122,28.0,,North,Graduate,Salaried,460725.67,785401.46,Car,620.9,2,20,22.44,2018-05-05,0
100123,53.0,Male,South,Secondary,Self-Employed,1140139.54,334062.65,Other,,2,27,19.29,2026-05-21,1
100124,23.0,Female,East,Secondary,Self-Employed,253704.45,225236.76,Car,620.3,1,32,48.57,2019-06-03,0
100125,44.0,,West,Secondary,,759124.34,528452.94,Car,659.8,3,24,35.45,2023-09-02,1
100126,62.0,Male,South,Graduate,Salaried,366755.24,274548.13,Car,719.6,3,27,16.0,2018-06-11,0
100127,27.0,Male,West,Graduate,Self-Employed,252527.8,329737.21,Business,724.3,3,20,61.03,2025-04-30,0
100128,32.0,Male,South,Secondary,Salaried,620243.41,996663.54,Education,588.2,1,30,34.47,2024-12-28,0
100129,39.0,Other,North,Secondary,Unemployed,958268.26,739161.8,Education,764.8,0,25,13.03,2020-05-31,0
100130,,Female,North,Post-Graduate,Salaried,345571.82,494739.9,Car,775.8,2,17,15.71,2020-11-10,0
100131,21.0,Male,South,Graduate,Salaried,241159.73,209787.72,Business,584.0,1,30,49.42,2022-11-23,0
100132,39.0,Female,West,Post-Graduate,Self-Employed,522907.02,510854.86,Home,610.0,4,25,33.11,2023-02-05,0
